State,2023
Alabama,227475
Alaska,46131
Arizona,400704
Arkansas,135761
California,2526290
Colorado,374880
Connecticut,235580
Delaware,59512
District of Columbia,62490
Florida,1361251
Georgia,554573
Hawaii,83403
Idaho,90908
Illinois,732059
Indiana,339863
Iowa,153400
Kansas,145110
Kentucky,213960
Louisiana,221485
Maine,84093
Maryland,346417
Massachusetts,483803
Michigan,524045
Minnesota,324128
Mississippi,123851
Missouri,322804
Montana,62603
Nebraska,103226
Nevada,172658
New Hampshire,92406
New Jersey,592882
New Mexico,97421
New York,1248145
North Carolina,553487
North Dakota,43728
Ohio,596163
Oklahoma,179981
Oregon,234578
Pennsylvania,738930
Rhode Island,61338
South Carolina,264656
South Dakota,47927
Tennessee,351525
Texas,1595278
Utah,174396
Vermont,38173
Virginia,486123
Washington,472900
West Virginia,84235
Wisconsin,310876
Wyoming,33257
,  
